"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R650","2020-03-14 00:00:00","29.000","256.000","1.000","23.600","0.990","1012.900","","0.000","-99.000","-99.000","-99.000","30.600","","22.000",""
"C0S750","2020-03-14 00:00:00","2280.000","150.000","0.300","11.300","1.000","775.300","","5.500","-99.000","-99.000","-99.000","16.300","","11.100",""
"C0I370","2020-03-14 00:00:00","671.000","0.000","0.000","19.500","0.980","941.000","","0.500","-99.000","-99.000","-99.000","26.500","","17.700",""
"C0K400","2020-03-14 00:00:00","65.000","338.000","2.400","21.300","0.990","1008.800","","0.000","-99.000","-99.000","-99.000","28.000","","18.700",""
"C0A650","2020-03-14 00:00:00","287.000","50.000","1.400","16.000","0.990","985.600","","34.000","-99.000","-99.000","-99.000","22.300","","15.900",""
"C0U750","2020-03-14 00:00:00","398.000","18.000","8.100","14.900","1.000","971.000","","2.000","-99.000","-99.000","-99.000","19.100","","14.800",""
"C0M730","2020-03-14 00:00:00","40.000","359.000","0.900","22.000","0.880","1010.300","","0.500","-99.000","-99.000","-99.000","30.400","","20.000",""
"C0Z061","2020-03-14 00:00:00","174.000","0.000","0.000","21.100","0.990","999.400","","1.500","-99.000","-99.000","-99.000","26.100","","17.700",""
"C0M670","2020-03-14 00:00:00","43.000","339.000","1.700","21.200","0.900","1010.300","","2.000","-99.000","-99.000","-99.000","27.900","","18.900",""
"C0I530","2020-03-14 00:00:00","3014.000","226.000","8.100","6.100","1.000","702.900","","-99.000","-99.000","-99.000","-99.000","6.300","","4.300",""
"C0A880","2020-03-14 00:00:00","6.000","346.000","3.500","17.100","0.980","1016.600","","15.500","-99.000","-99.000","-99.000","21.300","","17.100",""
"C0S950","2020-03-14 00:00:00","415.000","0.000","0.100","19.900","1.000","968.300","","0.500","-99.000","-99.000","-99.000","27.100","","19.700",""
"C0X190","2020-03-14 00:00:00","10.000","7.000","2.300","22.100","0.900","1014.200","","0.500","-99.000","-99.000","-99.000","26.800","","20.300",""
"C0W110","2020-03-14 00:00:00","16.000","29.000","5.100","14.000","0.900","1019.100","","6.000","-99.000","-99.000","-99.000","15.100","","13.000",""
"C0R670","2020-03-14 00:00:00","26.000","13.000","0.400","23.100","0.880","1013.800","","0.000","-99.000","-99.000","-99.000","27.800","","22.500",""
"C0X120","2020-03-14 00:00:00","28.000","354.000","2.000","21.900","0.920","1013.400","","0.000","-99.000","-99.000","-99.000","28.000","","19.900",""
"CM0130","2020-03-14 00:00:00","11.000","356.000","3.600","22.700","0.810","1015.100","","0.000","-99.000","-99.000","-99.000","25.000","","20.800",""
"C0K240","2020-03-14 00:00:00","1132.000","138.000","3.200","16.900","0.990","893.900","","2.500","-99.000","-99.000","-99.000","24.900","","16.500",""
"C0V210","2020-03-14 00:00:00","734.000","0.000","0.000","19.900","0.930","934.700","","0.000","-99.000","-99.000","-99.000","29.100","","16.800",""
"C0Z320","2020-03-14 00:00:00","646.000","0.000","0.000","17.900","1.000","943.700","","4.000","-99.000","-99.000","-99.000","25.700","","14.700",""
"C0R600","2020-03-14 00:00:00","766.000","0.000","0.100","21.200","0.840","929.600","","0.000","-99.000","-99.000","-99.000","26.000","","20.000",""
"C0C650","2020-03-14 00:00:00","208.000","18.000","0.900","15.700","0.970","994.400","","34.500","-99.000","-99.000","-99.000","20.200","","15.600",""
"C0F9I0","2020-03-14 00:00:00","194.000","16.000","3.200","18.400","1.000","993.400","","0.000","-99.000","-99.000","-99.000","27.000","","17.600",""
